"","station_code","stations","line","line_code","line_number","join_station","is_interchange","mrt_score","bus_score","walk_score","score"
"56","DT24","Geylang Bahru","Downtown Line","DTL",24,"geylangbahru",0,0,17.3344909752828,NA,0.0465303975712199
"57","DT25","Mattar","Downtown Line","DTL",25,"mattar",0,0,25.0580204232797,NA,0.0672624107800736
"58","DT26","MacPherson","Downtown Line","DTL",26,"macpherson",1,2,78.0866790841419,NA,0.215740942297204
"59","DT27","Ubi","Downtown Line","DTL",27,"ubi",0,0,21.4839925899566,NA,0.0576687667410154
"60","DT28","Kaki Bukit","Downtown Line","DTL",28,"kakibukit",0,0,9.43699774259019,NA,0.0253314191612288
"61","DT29","Bedok North","Downtown Line","DTL",29,"bedoknorth",0,0,8.87738195465477,NA,0.0238292611147712
"62","DT30","Bedok Reservoir","Downtown Line","DTL",30,"bedokreservoir",0,0,11.3648893861428,NA,0.0305063945773888
"63","DT31","Tampines West","Downtown Line","DTL",31,"tampineswest",0,0,12.0299677253466,NA,0.0322916422424794
"64","DT32","Tampines","Downtown Line","DTL",32,"tampines",1,2,20.2025778596571,NA,0.0603645746341163
"65","DT33","Tampines East","Downtown Line","DTL",33,"tampineseast",0,0,16.0106529690962,NA,0.0429768632427191
"66","DT34","Upper Changi","Downtown Line","DTL",34,"upperchangi",0,0,10.6691414238828,NA,0.0286388214632152
"67","DT35","Expo","Downtown Line","DTL",35,"expo",1,2,16.4261684130578,NA,0.0502276843618532
"68","EW1","Pasir Ris","East West Line","EWL",1,"pasirris",0,0,7.39018142822643,NA,0.0198372182067037
"69","EW2","Tampines","East West Line","EWL",2,"tampines",1,2,20.2025778596571,NA,0.0603645746341163
"70","EW3","Simei","East West Line","EWL",3,"simei",0,0,10.1345992734995,NA,0.0272039677480772
"71","EW4","Tanah Merah","East West Line","EWL",4,"tanahmerah",0,0,17.5358305379125,NA,0.0470708466625336
"72","EW5","Bedok","East West Line","EWL",5,"bedok",0,0,13.2366915630444,NA,0.0355308109037808
"73","EW6","Kembangan","East West Line","EWL",6,"kembangan",0,0,10.7407350770698,NA,0.0288309979252248
"74","EW7","Eunos","East West Line","EWL",7,"eunos",0,0,28.2180557481249,NA,0.0757447884982201
"75","EW8","Paya Lebar","East West Line","EWL",8,"payalebar",1,2,67.9110372450372,NA,0.188426805355369
"76","EW9","Aljunied","East West Line","EWL",9,"aljunied",0,0,29.4056189291517,NA,0.0789325248461122
"77","EW10","Kallang","East West Line","EWL",10,"kallang",0,0,53.7591065606156,NA,0.144303781686224
"78","EW11","Lavender","East West Line","EWL",11,"lavender",0,0,109.097424194382,0.728238500371215,0.294242863120034
"79","EW12","Bugis","East West Line","EWL",12,"bugis",1,2,368.445376573302,2.53417769879478,1
"80","EW13","City Hall","East West Line","EWL",13,"cityhall",1,2,285.531354045334,2.78966153654837,0.777926494781065
"81","EW14","Raffles Place","East West Line","EWL",14,"rafflesplace",1,2,206.835267832941,2.66549058668341,0.566447130924166
"82","EW15","Tanjong Pagar","East West Line","EWL",15,"tanjongpagar",0,0,85.114559123873,1.72722094809048,0.231781838491605
"83","EW16","Outram Park","East West Line","EWL",16,"outrampark",1,3,309.843656057074,1.42138568093116,0.843631490870224
"84","EW17","Tiong Bahru","East West Line","EWL",17,"tiongbahru",0,0,76.1921406817254,NA,0.204520029043724
"85","EW18","Redhill","East West Line","EWL",18,"redhill",0,0,13.7264170147703,NA,0.0368453646453383
"86","EW19","Queenstown","East West Line","EWL",19,"queenstown",0,0,14.4115960256811,NA,0.0386845678749337
"87","EW20","Commonwealth","East West Line","EWL",20,"commonwealth",0,0,15.7188471794605,NA,0.0421935786672048
"88","EW21","Buona Vista","East West Line","EWL",21,"buonavista",1,2,38.591555046757,NA,0.109725494470984
"89","EW22","Dover","East West Line","EWL",22,"dover",0,0,14.6217578262762,NA,0.0392486982061859
"90","EW23","Clementi","East West Line","EWL",23,"clementi",0,0,6.35610766069589,NA,0.0170614883863258
"91","EW24","Jurong East","East West Line","EWL",24,"jurongeast",1,2,31.2621684105832,NA,0.0900514657025227
"92","EW25","Chinese Garden","East West Line","EWL",25,"chinesegarden",0,0,19.4245822731279,NA,0.0521407601245566
"93","EW26","Lakeside","East West Line","EWL",26,"lakeside",0,0,10.2115603146356,NA,0.0274105517110367
"94","EW27","Boon Lay","East West Line","EWL",27,"boonlay",0,0,38.0181283472172,NA,0.102050797420708
"95","EW28","Pioneer","East West Line","EWL",28,"pioneer",0,0,16.6435869658212,NA,0.0446758269184307
"96","EW29","Joo Koon","East West Line","EWL",29,"jookoon",0,0,2.07944154167984,NA,0.00558177576707842
"97","EW30","Gul Circle","East West Line","EWL",30,"gulcircle",0,0,0.693147180559945,NA,0.00186059192235947
"98","EW31","Tuas Crescent","East West Line","EWL",31,"tuascrescent",0,0,1.79175946922805,NA,0.00480956034844393
"99","EW32","Tuas West Road","East West Line","EWL",32,"tuaswestroad",0,0,4.31748811353631,NA,0.0115892897413784
"100","EW33","Tuas Link","East West Line","EWL",33,"tuaslink",0,0,3.80666248977032,NA,0.0102180975098159
"101","NE1","HarbourFront","North East Line","NEL",1,"harbourfront",1,2,27.1647949512251,NA,0.079053022406233
"102","NE3","Outram Park","North East Line","NEL",3,"outrampark",1,3,309.843656057074,1.42138568093116,0.843631490870224
"103","NE4","Chinatown","North East Line","NEL",4,"chinatown",1,2,273.993273441805,3.50655789731998,0.748329738105621
"104","NE5","Clarke Quay","North East Line","NEL",5,"clarkequay",0,0,200.690540922364,1.84103051823484,0.542236813207466
"105","NE6","Dhoby Ghaut","North East Line","NEL",6,"dhobyghaut",1,3,309.43560092593,2.56926901860605,0.844737037099634
"106","NE7","Little India","North East Line","NEL",7,"littleindia",1,2,184.184776281845,0.693147180559945,0.501865529960139
"107","NE8","Farrer Park","North East Line","NEL",8,"farrerpark",0,0,98.953167240855,NA,0.265616695593409
"108","NE9","Boon Keng","North East Line","NEL",9,"boonkeng",0,0,87.3648344687081,0.693147180559945,0.235839513597064
"109","NE10","Potong Pasir","North East Line","NEL",10,"potongpasir",0,0,62.4363192840331,0.728238500371215,0.168992011180579
"110","NE11","Woodleigh","North East Line","NEL",11,"woodleigh",0,0,49.4584689104342,0.728238500371215,0.134155999072441
"111","NE12","Serangoon","North East Line","NEL",12,"serangoon",1,2,71.8538865343141,NA,0.19901046456146
"112","NE13","Kovan","North East Line","NEL",13,"kovan",0,0,28.6687966850891,NA,0.0769546974034468
"113","NE14","Hougang","North East Line","NEL",14,"hougang",0,0,23.9254527737969,NA,0.0642222971083264
"114","NE15","Buangkok","North East Line","NEL",15,"buangkok",0,0,14.583765211011,NA,0.0391467158926827
"115","NE16","Sengkang","North East Line","NEL",16,"sengkang",0,0,12.8891694902366,NA,0.0345979689624987
"116","NE17","Punggol","North East Line","NEL",17,"punggol",0,0,3.58351893845611,NA,0.00961912069688786
"117","NE18","Punggol Coast","North East Line","NEL",18,"punggolcoast",0,0,1.38629436111989,NA,0.00372118384471895
"118","NS1","Jurong East","North South Line","NSL",1,"jurongeast",1,2,31.2621684105832,NA,0.0900514657025227
"119","NS2","Bukit Batok","North South Line","NSL",2,"bukitbatok",0,0,13.5437648248108,NA,0.0363550774469321
"120","NS3","Bukit Gombak","North South Line","NSL",3,"bukitgombak",0,0,3.87120101090789,NA,0.0103913361155224
"121","NS4","Choa Chu Kang","North South Line","NSL",4,"choachukang",0,0,17.9743936413239,NA,0.0482480670141954
"122","NS5","Yew Tee","North South Line","NSL",5,"yewtee",0,0,2.77258872223978,NA,0.0074423676894379
"123","NS7","Kranji","North South Line","NSL",7,"kranji",0,0,2.19722457733622,NA,0.00589793685216891
"124","NS8","Marsiling","North South Line","NSL",8,"marsiling",0,0,8.78889830934488,NA,0.0235917474086757
"125","NS9","Woodlands","North South Line","NSL",9,"woodlands",1,2,15.1450059700408,NA,0.0467887026281582
"126","NS10","Admiralty","North South Line","NSL",10,"admiralty",0,0,5.66296048013595,NA,0.0152008964639663
"127","NS11","Sembawang","North South Line","NSL",11,"sembawang",0,0,2.07944154167984,NA,0.00558177576707842
"128","NS12","Canberra","North South Line","NSL",12,"canberra",0,0,4.15888308335967,NA,0.0111635515341568
"129","NS13","Yishun","North South Line","NSL",13,"yishun",0,0,5.48063892334199,NA,0.0147114967731693
"130","NS14","Khatib","North South Line","NSL",14,"khatib",0,0,3.40119738166216,NA,0.00912972100609088
"131","NS15","Yio Chu Kang","North South Line","NSL",15,"yiochukang",0,0,9.87508807801443,NA,0.0265073704775071
"132","NS16","Ang Mo Kio","North South Line","NSL",16,"angmokio",0,0,24.745291690712,NA,0.0664229634447543
"133","NS17","Bishan","North South Line","NSL",17,"bishan",1,2,38.7907854562598,NA,0.110260282032711
"134","NS18","Braddell","North South Line","NSL",18,"braddell",0,0,35.0262123215024,NA,0.0940196967454868
"135","NS19","Toa Payoh","North South Line","NSL",19,"toapayoh",0,0,18.3261414669261,NA,0.0491922520031529
"136","NS20","Novena","North South Line","NSL",20,"novena",0,0,41.754907575708,NA,0.112081309616623
"137","NS21","Newton","North South Line","NSL",21,"newton",1,2,100.585135616318,NA,0.276132800856747
"138","NS22","Orchard","North South Line","NSL",22,"orchard",1,2,103.153646681829,NA,0.283027369679951
"139","NS23","Somerset","North South Line","NSL",23,"somerset",0,0,155.962908237021,0.728238500371215,0.420042323166541
"140","NS24","Dhoby Ghaut","North South Line","NSL",24,"dhobyghaut",1,3,309.43560092593,2.56926901860605,0.844737037099634
"141","NS25","City Hall","North South Line","NSL",25,"cityhall",1,2,285.531354045334,2.78966153654837,0.777926494781065
"142","NS26","Raffles Place","North South Line","NSL",26,"rafflesplace",1,2,206.835267832941,2.66549058668341,0.566447130924166
"143","NS27","Marina Bay","North South Line","NSL",27,"marinabay",1,3,137.507663650431,1.70906775338294,0.381587300875181
"144","NS28","Marina South Pier","North South Line","NSL",28,"marinasouthpier",0,0,5.54517744447956,1.05605267424931,0.0169095404279143
"145","TE1","Woodlands North","Thomson East Coast Line","TEL",1,"woodlandsnorth",0,0,NA,NA,0
"146","TE2","Woodlands","Thomson East Coast Line","TEL",2,"woodlands",1,2,15.1450059700408,NA,0.0467887026281582
"147","TE3","Woodlands South","Thomson East Coast Line","TEL",3,"woodlandssouth",0,0,4.27666611901606,NA,0.0114797126192473
"148","TE4","Springleaf","Thomson East Coast Line","TEL",4,"springleaf",0,0,NA,NA,0
"149","TE5","Lentor","Thomson East Coast Line","TEL",5,"lentor",0,0,3.17805383034795,NA,0.00853074419316288
"150","TE6","Mayflower","Thomson East Coast Line","TEL",6,"mayflower",0,0,10.8967393255464,NA,0.0292497549406321
"151","TE7","Bright Hill","Thomson East Coast Line","TEL",7,"brighthill",0,0,13.0613386755666,NA,0.0350601169802477
"152","TE8","Upper Thomson","Thomson East Coast Line","TEL",8,"upperthomson",0,0,16.2342774052477,NA,0.0435771308788215
"153","TE9","Caldecott","Thomson East Coast Line","TEL",9,"caldecott",1,2,40.8382730888934,NA,0.115756284984539
"154","TE11","Stevens","Thomson East Coast Line","TEL",11,"stevens",1,2,47.2750842075802,NA,0.133034402978913
"155","TE12","Napier","Thomson East Coast Line","TEL",12,"napier",0,0,14.5655181079533,0.810930216216329,0.0406525593776026
"156","TE13","Orchard Boulevard","Thomson East Coast Line","TEL",13,"orchardboulevard",0,0,16.0286714745988,0.810930216216329,0.0445800532944855
"157","TE14","Orchard","Thomson East Coast Line","TEL",14,"orchard",1,2,103.153646681829,NA,0.283027369679951
"158","TE15","Great World","Thomson East Coast Line","TEL",15,"greatworld",0,0,58.3607836420848,NA,0.156655910421959
"159","TE16","Havelock","Thomson East Coast Line","TEL",16,"havelock",0,0,65.4098303281942,NA,0.175577431986708
"160","TE17","Outram Park","Thomson East Coast Line","TEL",17,"outrampark",1,3,309.843656057074,1.42138568093116,0.843631490870224
"161","TE18","Maxwell","Thomson East Coast Line","TEL",18,"maxwell",0,0,105.744252847894,3.37175018033585,0.29031055000138
"162","TE19","Shenton Way","Thomson East Coast Line","TEL",19,"shentonway",0,0,90.4848187266197,3.61861025826738,0.24982347159489
"163","TE20","Marina Bay","Thomson East Coast Line","TEL",20,"marinabay",1,3,137.507663650431,1.70906775338294,0.381587300875181
"164","TE22","Gardens by The Bay","Thomson East Coast Line","TEL",22,"gardensbythebay",0,0,6.93147180559945,NA,0.0186059192235947
"165","TE23","Tanjong Rhu","Thomson East Coast Line","TEL",23,"tanjongrhu",0,0,5.95064255258773,NA,0.0159731118826008
"166","TE24","Katong Park","Thomson East Coast Line","TEL",24,"katongpark",0,0,17.5004542772246,NA,0.0469758873426008
"167","TE25","Tanjong Katong","Thomson East Coast Line","TEL",25,"tanjongkatong",0,0,20.881032371684,NA,0.056050260681861
"168","TE26","Marine Parade","Thomson East Coast Line","TEL",26,"marineparade",0,0,14.0058002844074,NA,0.0375953038635996
"169","TE27","Marine Terrace","Thomson East Coast Line","TEL",27,"marineterrace",0,0,12.5831382791166,NA,0.0337764995612385
"170","TE28","Siglap","Thomson East Coast Line","TEL",28,"siglap",0,0,10.317251463459,NA,0.0276942549464834
"171","TE29","Bayshore","Thomson East Coast Line","TEL",29,"bayshore",0,0,9.40096073158483,NA,0.0252346862111959
