"line_code","DAY_TYPE","station_code","is_peak","stations","AVG_RIDERS"
"NEL","WEEKDAY","NE10",1,"Potong Pasir",61169.4333333333
"NEL","WEEKDAY","NE11",0,"Woodleigh",20987.2222222222
"NEL","WEEKDAY","NE11",1,"Woodleigh",50574.2
"NEL","WEEKDAY","NE12",0,"Serangoon",44494.7
"NEL","WEEKDAY","NE12",1,"Serangoon",102054.45
"NEL","WEEKDAY","NE13",0,"Kovan",34188.2444444444
"NEL","WEEKDAY","NE13",1,"Kovan",75042.7666666667
"NEL","WEEKDAY","NE14",0,"Hougang",46937.4222222222
"NEL","WEEKDAY","NE14",1,"Hougang",115370.233333333
"NEL","WEEKDAY","NE15",0,"Buangkok",31158.0777777778
"NEL","WEEKDAY","NE15",1,"Buangkok",79649.9333333333
"NEL","WEEKDAY","NE16",0,"Sengkang",68323.6555555556
"NEL","WEEKDAY","NE16",1,"Sengkang",157387.566666667
"NEL","WEEKDAY","NE17",0,"Punggol",64972.2
"NEL","WEEKDAY","NE17",1,"Punggol",150114.666666667
"NEL","WEEKDAY","NE18",0,"Punggol Coast",8538.93333333333
"NEL","WEEKDAY","NE18",1,"Punggol Coast",18855.7333333333
"NEL","WEEKDAY","NE4",0,"Chinatown",45075.1333333333
"NEL","WEEKDAY","NE4",1,"Chinatown",70349.0166666667
"NEL","WEEKDAY","NE5",0,"Clarke Quay",22670.1444444444
"NEL","WEEKDAY","NE5",1,"Clarke Quay",47769.7
"NEL","WEEKDAY","NE7",0,"Little India",22100.1777777778
"NEL","WEEKDAY","NE7",1,"Little India",41884.7666666667
"NEL","WEEKDAY","NE8",0,"Farrer Park",45024.6111111111
"NEL","WEEKDAY","NE8",1,"Farrer Park",86998.3666666667
"NEL","WEEKDAY","NE9",0,"Boon Keng",34555.6
"NEL","WEEKDAY","NE9",1,"Boon Keng",84686.7666666667
"NSL","WEEKDAY","NS10",0,"Admiralty",58268.1
"NSL","WEEKDAY","NS10",1,"Admiralty",158526.6
"NSL","WEEKDAY","NS11",0,"Sembawang",58360.7666666667
"NSL","WEEKDAY","NS11",1,"Sembawang",155101.366666667
"NSL","WEEKDAY","NS12",0,"Canberra",23595.3888888889
"NSL","WEEKDAY","NS12",1,"Canberra",67130.8333333333
"NSL","WEEKDAY","NS13",0,"Yishun",81382.0666666667
"NSL","WEEKDAY","NS13",1,"Yishun",199545.566666667
"NSL","WEEKDAY","NS14",0,"Khatib",49344.4555555556
"NSL","WEEKDAY","NS14",1,"Khatib",125262.566666667
"NSL","WEEKDAY","NS15",0,"Yio Chu Kang",30625.1777777778
"NSL","WEEKDAY","NS15",1,"Yio Chu Kang",90843
"NSL","WEEKDAY","NS16",0,"Ang Mo Kio",69592.3444444444
"NSL","WEEKDAY","NS16",1,"Ang Mo Kio",165196.466666667
"NSL","WEEKDAY","NS17",0,"Bishan",25764.8611111111
"NSL","WEEKDAY","NS17",1,"Bishan",63998.55
"NSL","WEEKDAY","NS18",0,"Braddell",22531.8777777778
"NSL","WEEKDAY","NS18",1,"Braddell",51688.9
"NSL","WEEKDAY","NS19",0,"Toa Payoh",57365.3444444444
"NSL","WEEKDAY","NS19",1,"Toa Payoh",130104.633333333
"NSL","WEEKDAY","NS2",0,"Bukit Batok",40669.9777777778
"NSL","WEEKDAY","NS2",1,"Bukit Batok",112797.1
"NSL","WEEKDAY","NS20",0,"Novena",59157.8666666667
"NSL","WEEKDAY","NS20",1,"Novena",140535.933333333
"NSL","WEEKDAY","NS21",0,"Newton",44355.9388888889
"NSL","WEEKDAY","NS21",1,"Newton",99919.35
"NSL","WEEKDAY","NS23",0,"Somerset",55314.1333333333
"NSL","WEEKDAY","NS23",1,"Somerset",97148.5666666667
"NSL","WEEKDAY","NS24",0,"Dhoby Ghaut",17555.6222222222
"NSL","WEEKDAY","NS24",1,"Dhoby Ghaut",32796.8777777778
"NSL","WEEKDAY","NS25",0,"City Hall",36640.1111111111
"NSL","WEEKDAY","NS25",1,"City Hall",65997.4666666667
"NSL","WEEKDAY","NS27",0,"Marina Bay",2823.1962962963
"NSL","WEEKDAY","NS27",1,"Marina Bay",7977.51111111111
"NSL","WEEKDAY","NS28",0,"Marina South Pier",3466.01111111111
"NSL","WEEKDAY","NS28",1,"Marina South Pier",5327.2
"NSL","WEEKDAY","NS3",0,"Bukit Gombak",30124.6555555556
"NSL","WEEKDAY","NS3",1,"Bukit Gombak",73287.4333333333
"NSL","WEEKDAY","NS4",0,"Choa Chu Kang",57096.2333333333
"NSL","WEEKDAY","NS4",1,"Choa Chu Kang",144292.166666667
"NSL","WEEKDAY","NS5",0,"Yew Tee",42806.5666666667
"NSL","WEEKDAY","NS5",1,"Yew Tee",116833.1
"NSL","WEEKDAY","NS7",0,"Kranji",41437.3666666667
"NSL","WEEKDAY","NS7",1,"Kranji",84767.4
"NSL","WEEKDAY","NS8",0,"Marsiling",29424.2222222222
"NSL","WEEKDAY","NS8",1,"Marsiling",74997.8666666667
"NSL","WEEKDAY","NS9",0,"Woodlands",45528.6055555556
"NSL","WEEKDAY","NS9",1,"Woodlands",108206.05
"TEL","WEEKDAY","TE1",0,"Woodlands North",9675.28888888889
"TEL","WEEKDAY","TE1",1,"Woodlands North",27335.2
"TEL","WEEKDAY","TE11",0,"Stevens",5720.64444444444
"TEL","WEEKDAY","TE11",1,"Stevens",14628.7333333333
"TEL","WEEKDAY","TE12",0,"Napier",7376.1
"TEL","WEEKDAY","TE12",1,"Napier",15695.6333333333
"TEL","WEEKDAY","TE13",0,"Orchard Boulevard",6526.04444444444
"TEL","WEEKDAY","TE13",1,"Orchard Boulevard",12336.0666666667
"TEL","WEEKDAY","TE14",0,"Orchard",55501.5944444444
"TEL","WEEKDAY","TE14",1,"Orchard",91457.7
"TEL","WEEKDAY","TE15",0,"Great World",12831.5555555556
"TEL","WEEKDAY","TE15",1,"Great World",26071.9
"TEL","WEEKDAY","TE16",0,"Havelock",10473.4333333333
"TEL","WEEKDAY","TE16",1,"Havelock",22973.9666666667
"TEL","WEEKDAY","TE18",0,"Maxwell",15652.5333333333
"TEL","WEEKDAY","TE18",1,"Maxwell",25317.7
"TEL","WEEKDAY","TE19",0,"Shenton Way",13764.8555555556
"TEL","WEEKDAY","TE19",1,"Shenton Way",44983.8333333333
"TEL","WEEKDAY","TE22",0,"Gardens by The Bay",5485.1
"TEL","WEEKDAY","TE22",1,"Gardens by The Bay",8435.7
"TEL","WEEKDAY","TE23",0,"Tanjong Rhu",3563.73333333333
"TEL","WEEKDAY","TE23",1,"Tanjong Rhu",7578.2
"TEL","WEEKDAY","TE24",0,"Katong Park",4049.68888888889
"TEL","WEEKDAY","TE24",1,"Katong Park",9328.66666666667
"TEL","WEEKDAY","TE25",0,"Tanjong Katong",3893.73333333333
"TEL","WEEKDAY","TE25",1,"Tanjong Katong",8870.46666666667
"TEL","WEEKDAY","TE26",0,"Marine Parade",15844.8888888889
"TEL","WEEKDAY","TE26",1,"Marine Parade",27759.3333333333
"TEL","WEEKDAY","TE27",0,"Marine Terrace",8651.62222222222
"TEL","WEEKDAY","TE27",1,"Marine Terrace",18469.2
"TEL","WEEKDAY","TE28",0,"Siglap",5408.91111111111
"TEL","WEEKDAY","TE28",1,"Siglap",12837.2
"TEL","WEEKDAY","TE29",0,"Bayshore",4354.04444444444
"TEL","WEEKDAY","TE29",1,"Bayshore",11197.9333333333
"TEL","WEEKDAY","TE3",0,"Woodlands South",14845.9444444444
"TEL","WEEKDAY","TE3",1,"Woodlands South",42765.4666666667
"TEL","WEEKDAY","TE4",0,"Springleaf",6358.1
"TEL","WEEKDAY","TE4",1,"Springleaf",19835.1
"TEL","WEEKDAY","TE5",0,"Lentor",6439.62222222222
"TEL","WEEKDAY","TE5",1,"Lentor",19310.0666666667
"TEL","WEEKDAY","TE6",0,"Mayflower",15556.6555555556
"TEL","WEEKDAY","TE6",1,"Mayflower",39313.7
"TEL","WEEKDAY","TE7",0,"Bright Hill",8815.21111111111
"TEL","WEEKDAY","TE7",1,"Bright Hill",24265.3666666667
"TEL","WEEKDAY","TE8",0,"Upper Thomson",13722.8555555556
"TEL","WEEKDAY","TE8",1,"Upper Thomson",31192.4333333333
"CCL","WEEKENDS/HOLIDAY","CC10",0,"MacPherson",5314.63333333333
"CCL","WEEKENDS/HOLIDAY","CC10",1,"MacPherson",6581.61666666667
"CCL","WEEKENDS/HOLIDAY","CC11",0,"Tai Seng",8492.94444444445
"CCL","WEEKENDS/HOLIDAY","CC11",1,"Tai Seng",12825.9333333333
"CCL","WEEKENDS/HOLIDAY","CC12",0,"Bartley",3917.12222222222
"CCL","WEEKENDS/HOLIDAY","CC12",1,"Bartley",4999.7
"CCL","WEEKENDS/HOLIDAY","CC14",0,"Lorong Chuan",4277.82222222222
"CCL","WEEKENDS/HOLIDAY","CC14",1,"Lorong Chuan",5193.83333333333
"CCL","WEEKENDS/HOLIDAY","CC16",0,"Marymount",4458.75555555556
"CCL","WEEKENDS/HOLIDAY","CC16",1,"Marymount",5735.83333333333
"CCL","WEEKENDS/HOLIDAY","CC17",0,"Caldecott",1669.5
"CCL","WEEKENDS/HOLIDAY","CC17",1,"Caldecott",2516.81666666667
"CCL","WEEKENDS/HOLIDAY","CC19",0,"Botanic Gardens",3030.38888888889
"CCL","WEEKENDS/HOLIDAY","CC19",1,"Botanic Gardens",3538.83333333333
"CCL","WEEKENDS/HOLIDAY","CC2",0,"Bras Basah",3296.47777777778
"CCL","WEEKENDS/HOLIDAY","CC2",1,"Bras Basah",3988.93333333333
"CCL","WEEKENDS/HOLIDAY","CC20",0,"Farrer Road",3535.04444444444
"CCL","WEEKENDS/HOLIDAY","CC20",1,"Farrer Road",4757.56666666667
"CCL","WEEKENDS/HOLIDAY","CC21",0,"Holland Village",7473.93333333333
"CCL","WEEKENDS/HOLIDAY","CC21",1,"Holland Village",8517.73333333333
"CCL","WEEKENDS/HOLIDAY","CC23",0,"one-north",2675.36666666667
"CCL","WEEKENDS/HOLIDAY","CC23",1,"one-north",3696.2
"CCL","WEEKENDS/HOLIDAY","CC24",0,"Kent Ridge",5111.13333333333
"CCL","WEEKENDS/HOLIDAY","CC24",1,"Kent Ridge",7179.23333333333
"CCL","WEEKENDS/HOLIDAY","CC25",0,"Haw Par Villa",3985.32222222222
"CCL","WEEKENDS/HOLIDAY","CC25",1,"Haw Par Villa",5671
"CCL","WEEKENDS/HOLIDAY","CC26",0,"Pasir Panjang",1956.58888888889
"CCL","WEEKENDS/HOLIDAY","CC26",1,"Pasir Panjang",4330
"CCL","WEEKENDS/HOLIDAY","CC27",0,"Labrador Park",1333.33333333333
"CCL","WEEKENDS/HOLIDAY","CC27",1,"Labrador Park",2291.16666666667
"CCL","WEEKENDS/HOLIDAY","CC28",0,"Telok Blangah",2724.66666666667
"CCL","WEEKENDS/HOLIDAY","CC28",1,"Telok Blangah",3376.76666666667
"CCL","WEEKENDS/HOLIDAY","CC3",0,"Esplanade",7860.91111111111
"CCL","WEEKENDS/HOLIDAY","CC3",1,"Esplanade",9308.8
"CCL","WEEKENDS/HOLIDAY","CC4",0,"Promenade",7525.25555555556
"CCL","WEEKENDS/HOLIDAY","CC4",1,"Promenade",9159.43333333333
"CCL","WEEKENDS/HOLIDAY","CC5",0,"Nicoll Highway",3649.67777777778
"CCL","WEEKENDS/HOLIDAY","CC5",1,"Nicoll Highway",4356.83333333333
"CCL","WEEKENDS/HOLIDAY","CC6",0,"Stadium",12113.0222222222
"CCL","WEEKENDS/HOLIDAY","CC6",1,"Stadium",15626.1
"CCL","WEEKENDS/HOLIDAY","CC7",0,"Mountbatten",4776.76666666667
"CCL","WEEKENDS/HOLIDAY","CC7",1,"Mountbatten",6473.56666666667
"CCL","WEEKENDS/HOLIDAY","CC8",0,"Dakota",5923.26666666667
"CCL","WEEKENDS/HOLIDAY","CC8",1,"Dakota",7736.46666666667
"CCL","WEEKENDS/HOLIDAY","CE1",0,"Bayfront",22490.3555555556
"CCL","WEEKENDS/HOLIDAY","CE1",1,"Bayfront",27383.5833333333
"CGL","WEEKENDS/HOLIDAY","CG1",0,"Expo",5079.64444444444
"CGL","WEEKENDS/HOLIDAY","CG1",1,"Expo",6921.51666666667
"CGL","WEEKENDS/HOLIDAY","CG2",0,"Changi Airport",21950.3333333333
"CGL","WEEKENDS/HOLIDAY","CG2",1,"Changi Airport",24903.0666666667
"DTL","WEEKENDS/HOLIDAY","DT1",0,"Bukit Panjang",28919.2777777778
"DTL","WEEKENDS/HOLIDAY","DT1",1,"Bukit Panjang",36613.4333333333
"DTL","WEEKENDS/HOLIDAY","DT10",0,"Stevens",3560.67777777778
"DTL","WEEKENDS/HOLIDAY","DT10",1,"Stevens",4509.5
"DTL","WEEKENDS/HOLIDAY","DT13",0,"Rochor",9384.07777777778
"DTL","WEEKENDS/HOLIDAY","DT13",1,"Rochor",10408.8
"DTL","WEEKENDS/HOLIDAY","DT17",0,"Downtown",4039.46666666667
"DTL","WEEKENDS/HOLIDAY","DT17",1,"Downtown",5250.4
"DTL","WEEKENDS/HOLIDAY","DT18",0,"Telok Ayer",4617.23333333333
"DTL","WEEKENDS/HOLIDAY","DT18",1,"Telok Ayer",4966.7
"DTL","WEEKENDS/HOLIDAY","DT2",0,"Cashew",1234.6
"DTL","WEEKENDS/HOLIDAY","DT2",1,"Cashew",1836.26666666667
"DTL","WEEKENDS/HOLIDAY","DT20",0,"Fort Canning",4547.24444444444
"DTL","WEEKENDS/HOLIDAY","DT20",1,"Fort Canning",5488.4
"DTL","WEEKENDS/HOLIDAY","DT21",0,"Bencoolen",5520.97777777778
"DTL","WEEKENDS/HOLIDAY","DT21",1,"Bencoolen",5996.7
"DTL","WEEKENDS/HOLIDAY","DT22",0,"Jalan Besar",9917
"DTL","WEEKENDS/HOLIDAY","DT22",1,"Jalan Besar",13606.5666666667
"DTL","WEEKENDS/HOLIDAY","DT23",0,"Bendemeer",2359.42222222222
"DTL","WEEKENDS/HOLIDAY","DT23",1,"Bendemeer",3114.2
"DTL","WEEKENDS/HOLIDAY","DT24",0,"Geylang Bahru",3338.7
"DTL","WEEKENDS/HOLIDAY","DT24",1,"Geylang Bahru",4338.93333333333
"DTL","WEEKENDS/HOLIDAY","DT25",0,"Mattar",2686.21111111111
"DTL","WEEKENDS/HOLIDAY","DT25",1,"Mattar",3647.8
"DTL","WEEKENDS/HOLIDAY","DT27",0,"Ubi",5540.34444444444
"DTL","WEEKENDS/HOLIDAY","DT27",1,"Ubi",7877.36666666667
"DTL","WEEKENDS/HOLIDAY","DT28",0,"Kaki Bukit",6904.93333333333
"DTL","WEEKENDS/HOLIDAY","DT28",1,"Kaki Bukit",10601.6333333333
"DTL","WEEKENDS/HOLIDAY","DT29",0,"Bedok North",4735.16666666667
"DTL","WEEKENDS/HOLIDAY","DT29",1,"Bedok North",6079.13333333333
"DTL","WEEKENDS/HOLIDAY","DT3",0,"Hillview",5236.68888888889
"DTL","WEEKENDS/HOLIDAY","DT3",1,"Hillview",6719.86666666667
"DTL","WEEKENDS/HOLIDAY","DT30",0,"Bedok Reservoir",5247.42222222222
"DTL","WEEKENDS/HOLIDAY","DT30",1,"Bedok Reservoir",6703.93333333333
"DTL","WEEKENDS/HOLIDAY","DT31",0,"Tampines West",5573.98888888889
"DTL","WEEKENDS/HOLIDAY","DT31",1,"Tampines West",7317.1
"DTL","WEEKENDS/HOLIDAY","DT33",0,"Tampines East",10624.4888888889
"DTL","WEEKENDS/HOLIDAY","DT33",1,"Tampines East",13650.8
"DTL","WEEKENDS/HOLIDAY","DT34",0,"Upper Changi",2793.97777777778
"DTL","WEEKENDS/HOLIDAY","DT34",1,"Upper Changi",3780.06666666667
"DTL","WEEKENDS/HOLIDAY","DT5",0,"Beauty World",11085.3777777778
"DTL","WEEKENDS/HOLIDAY","DT5",1,"Beauty World",13768.3
"DTL","WEEKENDS/HOLIDAY","DT6",0,"King Albert Park",3918.07777777778
"DTL","WEEKENDS/HOLIDAY","DT6",1,"King Albert Park",5225.56666666667
"DTL","WEEKENDS/HOLIDAY","DT7",0,"Sixth Avenue",2502.25555555556
"DTL","WEEKENDS/HOLIDAY","DT7",1,"Sixth Avenue",3656.33333333333
"DTL","WEEKENDS/HOLIDAY","DT8",0,"Tan Kah Kee",2242.73333333333
"DTL","WEEKENDS/HOLIDAY","DT8",1,"Tan Kah Kee",3132.8
"EWL","WEEKENDS/HOLIDAY","EW1",0,"Pasir Ris",19662.1
